Year,Region,Population Growth (%),Urbanization Rate (%),Infrastructure Growth (%),Poverty Rate (%),Slum Growth (%)
1996,"Area Code: 848101, Samastipur",1.9,2.27,0.81,58.21,12.32
1997,"Area Code: 848101, Samastipur",2.82,3.19,0.58,68.77,6.68
1998,"Area Code: 848101, Samastipur",2.84,4.28,1.55,46.54,8.16
1999,"Area Code: 848101, Samastipur",1.56,3.53,1.42,61.77,5.11
2000,"Area Code: 848101, Samastipur",3.14,3.85,0.71,50.43,11.39
2001,"Area Code: 848101, Samastipur",2.49,2.29,0.63,63.44,6.56
2002,"Area Code: 848101, Samastipur",1.84,4.08,1.42,58.14,9.79
2003,"Area Code: 848101, Samastipur",2.64,3.5,1.95,46.69,7.15
2004,"Area Code: 848101, Samastipur",1.61,3.65,1.32,43.34,8.65
2005,"Area Code: 848101, Samastipur",1.86,2.83,1.93,60.5,5.08
2006,"Area Code: 848101, Samastipur",2.01,2.03,1.57,54.08,14.94
2007,"Area Code: 848101, Samastipur",2.97,3.29,1.71,61.14,7.44
2008,"Area Code: 848101, Samastipur",2.56,3.39,1.18,45.38,7.23
2009,"Area Code: 848101, Samastipur",2.06,2.03,1.88,60.58,11.9
2010,"Area Code: 848101, Samastipur",2.64,3.72,1.97,51.55,12.13
2011,"Area Code: 848101, Samastipur",2.22,4.14,1.79,67.07,5.05
2012,"Area Code: 848101, Samastipur",2.1,2.33,1.18,54.86,7.56
2013,"Area Code: 848101, Samastipur",2.95,2.67,1.78,45.33,8.67
2014,"Area Code: 848101, Samastipur",2.74,3.51,0.62,65.39,10.98
2015,"Area Code: 848101, Samastipur",3.24,4.17,1.32,67.32,13.48
2016,"Area Code: 848101, Samastipur",3.42,4.13,1.73,54.08,7.12
2017,"Area Code: 848101, Samastipur",3.32,3.81,0.92,50.23,11.86
2018,"Area Code: 848101, Samastipur",2.46,2.2,0.71,62.37,8.29
2019,"Area Code: 848101, Samastipur",2.52,3.92,1.63,45.01,5.98
2020,"Area Code: 848101, Samastipur",2.68,3.85,0.72,51.16,13.7
2021,"Area Code: 848101, Samastipur",3.39,3.14,0.62,47.73,7.33
2022,"Area Code: 848101, Samastipur",1.98,3.23,1.37,43.68,13.89
2023,"Area Code: 848101, Samastipur",2.74,3.49,1.98,58.84,14.29
2024,"Area Code: 848101, Samastipur",2.07,2.6,1.27,55.26,7.26
2025,"Area Code: 848101, Samastipur",2.9,2.07,1.54,53.72,11.89
1995,"Vikas Nagar, Lucknow",1.82,1.93,3.52,12.69,2.68
1996,"Vikas Nagar, Lucknow",1.08,1.7,4.66,11.19,4.89
1997,"Vikas Nagar, Lucknow",0.51,2.89,3.64,24.05,1.75
1998,"Vikas Nagar, Lucknow",1.48,2.76,2.42,12.54,2.22
1999,"Vikas Nagar, Lucknow",0.74,1.22,4.03,14.28,3.67
2000,"Vikas Nagar, Lucknow",1.79,2.3,2.36,21.47,2.57
2001,"Vikas Nagar, Lucknow",1.02,1.64,4.79,24.85,1.54
2002,"Vikas Nagar, Lucknow",1.21,1.64,4.93,29.56,2.28
2003,"Vikas Nagar, Lucknow",1.03,2.2,3.44,14.26,3.64
2004,"Vikas Nagar, Lucknow",1,2.31,3.15,24,3.67
2005,"Vikas Nagar, Lucknow",1.26,2.41,3.38,12.32,1.73
2006,"Vikas Nagar, Lucknow",0.87,1.13,4.13,17.35,1.37
2007,"Vikas Nagar, Lucknow",1.73,2.37,3.36,14.95,1.61
2008,"Vikas Nagar, Lucknow",1.19,2.77,2.57,21.37,4.85
2009,"Vikas Nagar, Lucknow",1.46,1.88,4.15,26.49,3.36
2010,"Vikas Nagar, Lucknow",1.81,2.03,4.49,29.04,3
2011,"Vikas Nagar, Lucknow",1.41,2.22,4.34,26.46,1.11
2012,"Vikas Nagar, Lucknow",1.6,2.57,4.1,24.27,1.17
2013,"Vikas Nagar, Lucknow",1.16,2.64,4.8,14.59,3.32
2014,"Vikas Nagar, Lucknow",1.71,2.5,3.86,10.37,3.9
2015,"Vikas Nagar, Lucknow",1.66,2.45,4.3,18.62,4.98
2016,"Vikas Nagar, Lucknow",1.66,2.16,4.8,28.16,4.26
2017,"Vikas Nagar, Lucknow",1.35,2.05,2.99,15.02,3.05
2018,"Vikas Nagar, Lucknow",1.37,1.49,4.77,21.15,3.11
2019,"Vikas Nagar, Lucknow",1.15,1.12,4.65,16.34,3.57
2020,"Vikas Nagar, Lucknow",1.41,2.17,3.58,13.63,2.12
2021,"Vikas Nagar, Lucknow",1.29,2.58,3.3,14.08,1.35
2022,"Vikas Nagar, Lucknow",1.49,1.85,2.38,23.49,1.83
2023,"Vikas Nagar, Lucknow",1.26,1.61,4.8,14.57,2.68
2024,"Vikas Nagar, Lucknow",1.94,1.64,3.93,16.33,1.44
2025,"Vikas Nagar, Lucknow",1.44,2.83,3.36,22.52,3.44
1995,"Sector A-10, North Delhi",0.51,2.91,2.42,15.75,1.52
1996,"Sector A-10, North Delhi",1.24,2.86,2.3,18.82,1.09
1997,"Sector A-10, North Delhi",1.66,2.28,4.1,19.45,4.63
1998,"Sector A-10, North Delhi",1.11,2.03,4.09,20.41,1.76
1999,"Sector A-10, North Delhi",0.98,1.18,3.3,22.19,1.47
2000,"Sector A-10, North Delhi",1.45,2.79,3.01,14.44,4.57
2001,"Sector A-10, North Delhi",1.54,1.21,3.22,23.48,3.3
2002,"Sector A-10, North Delhi",1.43,2.13,4.39,16.41,3.83
2003,"Sector A-10, North Delhi",1.99,1.78,4.37,14.92,2.13
2004,"Sector A-10, North Delhi",1.9,1.05,2.65,19.66,2.61
2005,"Sector A-10, North Delhi",1.44,1.39,2.21,17.39,3.1
2006,"Sector A-10, North Delhi",1.34,2.2,3.65,14.92,4.06
2007,"Sector A-10, North Delhi",0.63,1.4,4.22,15.59,2.97
2008,"Sector A-10, North Delhi",0.99,2.01,3.04,29.88,2.43
2009,"Sector A-10, North Delhi",1.44,2.78,3.91,21.32,3.28
2010,"Sector A-10, North Delhi",1.24,2.62,2.15,27.7,3.35
2011,"Sector A-10, North Delhi",1.77,1.02,4.61,12.4,3.88
2012,"Sector A-10, North Delhi",1.12,2.36,3.88,13.27,3.06
2013,"Sector A-10, North Delhi",0.92,2.12,4.21,11.63,3.06
2014,"Sector A-10, North Delhi",1.43,1.59,4.86,20.41,1.73
2015,"Sector A-10, North Delhi",0.66,2.08,3.13,13.85,1.12
2016,"Sector A-10, North Delhi",1.35,2.2,2.43,22.03,4.81
2017,"Sector A-10, North Delhi",1.97,2.78,4.42,14.19,1.63
2018,"Sector A-10, North Delhi",1.17,2.24,4.55,14.64,2.92
2019,"Sector A-10, North Delhi",1.47,1.89,3.36,14.5,4.95
2020,"Sector A-10, North Delhi",1.21,2.07,2.66,20.28,2.02
2021,"Sector A-10, North Delhi",0.8,1.55,2.01,21.4,2.55
2022,"Sector A-10, North Delhi",1.85,1.08,2.13,27.72,1.51
2023,"Sector A-10, North Delhi",0.5,1.36,4.47,26.05,2.36
2024,"Sector A-10, North Delhi",1.5,2.01,4.71,11.13,4.25
2025,"Sector A-10, North Delhi",0.76,1.78,2.58,24.05,3.71
1995,"Area Code: 500094, Medchal–Malkajgiri",0.72,2.37,2.9,21.36,3.46
1996,"Area Code: 500094, Medchal–Malkajgiri",1.13,2.95,2.4,17.83,2.72
1997,"Area Code: 500094, Medchal–Malkajgiri",1.45,1.81,2.29,28.95,2.66
1998,"Area Code: 500094, Medchal–Malkajgiri",1.01,1.89,2.65,12,1.59
1999,"Area Code: 500094, Medchal–Malkajgiri",0.75,1.4,3.26,22.48,3.52
2000,"Area Code: 500094, Medchal–Malkajgiri",0.5,2.84,4.47,29.28,2.44
2001,"Area Code: 500094, Medchal–Malkajgiri",1.5,1.34,4.45,13.23,2.3
2002,"Area Code: 500094, Medchal–Malkajgiri",1.24,2.19,3.68,12.04,2.69
2003,"Area Code: 500094, Medchal–Malkajgiri",1.88,2.74,3.77,21.45,1.45
2004,"Area Code: 500094, Medchal–Malkajgiri",0.8,1.51,3.46,24.63,2.84
2005,"Area Code: 500094, Medchal–Malkajgiri",0.69,1.88,2.49,25.02,1.67
2006,"Area Code: 500094, Medchal–Malkajgiri",1.22,2.39,2.68,11.52,3.25
2007,"Area Code: 500094, Medchal–Malkajgiri",0.58,2.18,4.26,16.59,2.95
2008,"Area Code: 500094, Medchal–Malkajgiri",1.89,1.94,4.99,13.14,3.84
2009,"Area Code: 500094, Medchal–Malkajgiri",1.48,2.74,2.28,15.6,1.53
2010,"Area Code: 500094, Medchal–Malkajgiri",1.9,1.85,4.73,15.89,1.51
2011,"Area Code: 500094, Medchal–Malkajgiri",0.94,2.19,4.54,17.71,4.66
2012,"Area Code: 500094, Medchal–Malkajgiri",0.87,2.39,4.21,15.48,1.11
2013,"Area Code: 500094, Medchal–Malkajgiri",1.05,1.09,4.7,29.07,3.94
2014,"Area Code: 500094, Medchal–Malkajgiri",1.59,1.48,2.22,26.04,3.24
2015,"Area Code: 500094, Medchal–Malkajgiri",1.52,2.56,3.23,12.89,4.18
2016,"Area Code: 500094, Medchal–Malkajgiri",1.18,2.65,3.31,14.34,1.68
2017,"Area Code: 500094, Medchal–Malkajgiri",1.62,2.15,3.21,19.84,3.2
2018,"Area Code: 500094, Medchal–Malkajgiri",0.86,1.76,2.88,17.77,3
2019,"Area Code: 500094, Medchal–Malkajgiri",0.76,1.79,3.16,15.72,4.99
2020,"Area Code: 500094, Medchal–Malkajgiri",0.61,2.29,2.52,26.79,4.66
2021,"Area Code: 500094, Medchal–Malkajgiri",1.1,2.65,2.75,12.8,2.26
2022,"Area Code: 500094, Medchal–Malkajgiri",1.01,1.79,3.12,18.22,3.84
2023,"Area Code: 500094, Medchal–Malkajgiri",0.87,1.04,3.47,18.97,1.24
2024,"Area Code: 500094, Medchal–Malkajgiri",0.7,2.02,2.7,27.55,1.69
2025,"Area Code: 500094, Medchal–Malkajgiri",0.53,1.9,4.96,22.68,2.42
1995,"Area Code: None, Parkibanda",2.56,3.64,0.6,63.44,10.13
1996,"Area Code: None, Parkibanda",2.81,3.93,1.81,51.77,13.11
1997,"Area Code: None, Parkibanda",2.02,3.65,0.65,40.6,5.96
1998,"Area Code: None, Parkibanda",2.14,2.08,1.45,49.5,12.36
1999,"Area Code: None, Parkibanda",1.59,2.54,1.11,51.48,6.31
2000,"Area Code: None, Parkibanda",3.49,2.71,1.58,46.6,13.78
2001,"Area Code: None, Parkibanda",2.28,4.25,1.01,40.26,10.17
2002,"Area Code: None, Parkibanda",2.55,2.3,0.85,63.5,5.37
2003,"Area Code: None, Parkibanda",2.48,3.33,1.53,41.12,10.86
2004,"Area Code: None, Parkibanda",1.51,2.66,1.25,67.34,6.27
2005,"Area Code: None, Parkibanda",1.84,3.67,1.06,58.7,14.97
2006,"Area Code: None, Parkibanda",3.47,2.88,1.26,67.14,5.92
2007,"Area Code: None, Parkibanda",2.4,2.94,0.94,69.83,12.34
2008,"Area Code: None, Parkibanda",2.28,4.07,1.23,66.18,7.66
2009,"Area Code: None, Parkibanda",1.95,2.62,1.31,48.74,6.47
2010,"Area Code: None, Parkibanda",3.49,4.25,1.45,66.75,14.35
2011,"Area Code: None, Parkibanda",2.85,3.3,1.82,57.03,6.27
2012,"Area Code: None, Parkibanda",2.23,3.11,1.9,59.78,13.75
2013,"Area Code: None, Parkibanda",3.02,2.77,1.58,45.86,9.08
2014,"Area Code: None, Parkibanda",3.11,3.53,1.74,47.64,12.5
2015,"Area Code: None, Parkibanda",1.9,3.36,1.15,56.69,6.36
2016,"Area Code: None, Parkibanda",2.22,3.67,1.34,56.47,10.11
2017,"Area Code: None, Parkibanda",3.39,4.34,1.04,50.56,10.55
2018,"Area Code: None, Parkibanda",1.69,2.76,0.85,46.7,11.39
2019,"Area Code: None, Parkibanda",2.27,2.43,1.83,66.22,13.62
2020,"Area Code: None, Parkibanda",2.28,2.14,0.66,48.28,7.2
2021,"Area Code: None, Parkibanda",3.25,4.47,1.73,61.9,10.89
2022,"Area Code: None, Parkibanda",3.04,4.37,1.4,44.64,6.64
2023,"Area Code: None, Parkibanda",2.67,2.83,1.87,58.35,11.76
2024,"Area Code: None, Parkibanda",1.51,3.25,1.15,61.18,8.83
2025,"Area Code: None, Parkibanda",3.45,3.68,1.49,67.58,14.95
1995,"Aliganj, Lucknow",1.78,2.72,2.7,11.9,4.9
1996,"Aliganj, Lucknow",1.14,1,3.5,22.39,4.1
1997,"Aliganj, Lucknow",1.91,2.83,4.82,10.64,3.85
1998,"Aliganj, Lucknow",0.84,1.38,4.4,18.34,4.67
1999,"Aliganj, Lucknow",0.56,2.6,2.41,13.53,2.91
2000,"Aliganj, Lucknow",1.09,1.97,4.82,23.15,2.16
2001,"Aliganj, Lucknow",0.76,1.84,3.35,22.03,2.06
2002,"Aliganj, Lucknow",1.65,1.2,3.68,22.47,1.83
2003,"Aliganj, Lucknow",1.74,2.23,3.94,19.95,4.64
2004,"Aliganj, Lucknow",1.54,1.76,2.72,11.42,1.66
2005,"Aliganj, Lucknow",1.99,1.81,4.7,13.41,2.7
2006,"Aliganj, Lucknow",1.94,1.18,3.78,28.38,4.8
2007,"Aliganj, Lucknow",1.77,2.71,3.96,14.41,3.92
2008,"Aliganj, Lucknow",1.97,2.05,2.78,21.47,3.76
2009,"Aliganj, Lucknow",0.81,2.44,3.76,22.25,2.22
2010,"Aliganj, Lucknow",0.73,2.25,3.76,16.76,2.18
2011,"Aliganj, Lucknow",1.02,1.98,4.92,25.27,4.41
2012,"Aliganj, Lucknow",1.26,2.05,2.61,24.42,2.69
2013,"Aliganj, Lucknow",1.61,1.82,2.33,13.46,4.25
2014,"Aliganj, Lucknow",0.89,1.53,4.79,23.15,1.46
2015,"Aliganj, Lucknow",0.72,1.54,3.78,25.06,2.1
2016,"Aliganj, Lucknow",1.81,1.22,2.62,29.41,1.54
2017,"Aliganj, Lucknow",1.83,2.41,2.22,19.67,3.08
2018,"Aliganj, Lucknow",1.9,1.84,3.34,12.25,3.56
2019,"Aliganj, Lucknow",0.82,1.16,4.99,15.39,1.56
2020,"Aliganj, Lucknow",1.55,2.64,2.19,12.11,1.36
2021,"Aliganj, Lucknow",0.57,2.32,3.76,23.26,3.02
2022,"Aliganj, Lucknow",1.73,2.09,4.76,19.71,4.16
2023,"Aliganj, Lucknow",1.11,1.87,4.55,12.15,3.26
2024,"Aliganj, Lucknow",1.59,2.5,3.77,18.96,2.04
2025,"Aliganj, Lucknow",1.86,1.74,4.4,10.63,1.93
1995,"Aliganj, Lucknow",1.18,2.31,3.1,25.5,4.62
1996,"Aliganj, Lucknow",0.92,2.93,3.87,27.56,1.42
1997,"Aliganj, Lucknow",0.88,1.64,2.91,13.44,4.47
1998,"Aliganj, Lucknow",1.13,2.93,3.75,12.77,3.18
1999,"Aliganj, Lucknow",1.99,2.13,2.01,28.66,1.94
2000,"Aliganj, Lucknow",1.53,2.03,2.98,15.65,4.72
2001,"Aliganj, Lucknow",1.87,2.03,2.78,12.05,1.63
2002,"Aliganj, Lucknow",1.28,1.62,2.13,19.1,3.98
2003,"Aliganj, Lucknow",1.84,2.17,4.17,17.28,2.98
2004,"Aliganj, Lucknow",1.59,2.46,3.27,20.87,4.7
2005,"Aliganj, Lucknow",1.45,2.29,4.35,12.3,3.09
2006,"Aliganj, Lucknow",1.94,1.72,2.88,22.02,1.88
2007,"Aliganj, Lucknow",1.33,1.31,3.74,22.05,2.67
2008,"Aliganj, Lucknow",1.07,1.49,2.99,19.97,1.99
2009,"Aliganj, Lucknow",1.67,2.42,2.81,11.95,1
2010,"Aliganj, Lucknow",1.4,1.42,2.04,17.18,4.85
2011,"Aliganj, Lucknow",1.53,2.72,2.43,11.47,1.05
2012,"Aliganj, Lucknow",1.93,1.6,3.38,17.89,3.92
2013,"Aliganj, Lucknow",0.96,2.07,4.99,18.88,3.21
2014,"Aliganj, Lucknow",1.25,2.61,2.8,13.41,4.02
2015,"Aliganj, Lucknow",1.12,2.83,3.93,21.29,1.28
2016,"Aliganj, Lucknow",1.6,2.37,3.92,15.36,4.79
2017,"Aliganj, Lucknow",0.98,1.3,4.96,24.92,2.66
2018,"Aliganj, Lucknow",1.9,1.18,2.26,23.65,1.71
2019,"Aliganj, Lucknow",1.88,2.68,2.92,27.78,1.17
2020,"Aliganj, Lucknow",1.32,2.87,4.57,17.12,1.73
2021,"Aliganj, Lucknow",0.82,2.03,3.79,10.66,2.65
2022,"Aliganj, Lucknow",1.75,1.89,2.51,29.1,2.07
2023,"Aliganj, Lucknow",1.7,1.39,3.27,19.81,3
2024,"Aliganj, Lucknow",1.27,1.45,3.55,19.63,1.83
2025,"Aliganj, Lucknow",1.98,2.73,4.66,23.71,1.64
1995,"Aliganj, Lucknow",1.72,2.98,4.25,10.68,1.82
1996,"Aliganj, Lucknow",0.55,1.38,2.18,20.03,1.11
1997,"Aliganj, Lucknow",1.21,2.8,4.25,28.88,1.91
1998,"Aliganj, Lucknow",1.3,1.64,3.48,21.14,1.14
1999,"Aliganj, Lucknow",0.85,2.41,4.32,21.39,2.08
2000,"Aliganj, Lucknow",1.11,1.19,4.86,27.37,1.26
2001,"Aliganj, Lucknow",0.75,2.16,2.7,28.69,4.02
2002,"Aliganj, Lucknow",0.91,1.01,4.4,18.48,3.57
2003,"Aliganj, Lucknow",0.93,1.29,4.03,19.01,1.94
2004,"Aliganj, Lucknow",0.71,2.16,4.18,15.68,3.94
2005,"Aliganj, Lucknow",0.77,1.68,4.23,23.2,2.08
2006,"Aliganj, Lucknow",0.68,1.08,4.51,11.5,1.46
2007,"Aliganj, Lucknow",0.86,1.89,4.37,14.95,3.17
2008,"Aliganj, Lucknow",0.64,1.93,2.53,14.22,2.47
2009,"Aliganj, Lucknow",1.64,2.49,3.24,12.37,2.12
2010,"Aliganj, Lucknow",1.26,2.74,4.9,22.75,2.4
2011,"Aliganj, Lucknow",1.54,1.67,3.88,14.88,2.07
2012,"Aliganj, Lucknow",0.61,1.84,3.85,25.78,4.24
2013,"Aliganj, Lucknow",1.99,1.18,3.48,20.43,4.22
2014,"Aliganj, Lucknow",0.9,1.14,2.94,29.68,4.6
2015,"Aliganj, Lucknow",1.09,2.75,2.1,16.28,3.91
2016,"Aliganj, Lucknow",0.83,1.4,4.59,22.32,4.96
2017,"Aliganj, Lucknow",0.7,1.71,2.93,27.6,2.02
2018,"Aliganj, Lucknow",1.03,1.29,4.33,14.75,1.27
2019,"Aliganj, Lucknow",1.15,1.78,2.53,12.67,4.59
2020,"Aliganj, Lucknow",0.6,1.2,2.74,29.06,1.34
2021,"Aliganj, Lucknow",1.72,2.78,3.13,15.88,3.71
2022,"Aliganj, Lucknow",1.55,2.56,4.49,15.37,3.75
2023,"Aliganj, Lucknow",0.7,2.02,3.84,13.23,1.31
2024,"Aliganj, Lucknow",0.79,1.84,4.66,20.64,3.99
2025,"Aliganj, Lucknow",0.76,1.21,2.72,16.28,3.19
1995,"Adarsh Nagar, Jaipur",0.57,1.25,4.59,26.92,2.39
1996,"Adarsh Nagar, Jaipur",1.02,2.87,2.08,21.61,3.39
1997,"Adarsh Nagar, Jaipur",1.68,2.9,3.07,18.76,3.69
1998,"Adarsh Nagar, Jaipur",1.95,2.78,4,27.13,1.34
1999,"Adarsh Nagar, Jaipur",1.07,1.03,2.53,22.61,4.54
2000,"Adarsh Nagar, Jaipur",1.45,2.33,2.31,23.3,2.82
2001,"Adarsh Nagar, Jaipur",1.48,1.65,3.74,18.48,3.23
2002,"Adarsh Nagar, Jaipur",0.72,1.79,3.12,24.73,3.83
2003,"Adarsh Nagar, Jaipur",1.86,2.26,2.94,25.66,2.99
2004,"Adarsh Nagar, Jaipur",0.79,2.49,2.4,13.56,4.04
2005,"Adarsh Nagar, Jaipur",1.66,2.58,2.88,27.33,3.89
2006,"Adarsh Nagar, Jaipur",1.75,2.42,3.74,12.19,3.84
2007,"Adarsh Nagar, Jaipur",1.54,1.62,4.21,21.01,3.24
2008,"Adarsh Nagar, Jaipur",1.05,1.23,2.65,25.38,2.09
2009,"Adarsh Nagar, Jaipur",0.5,2.99,2.63,23.11,4.71
2010,"Adarsh Nagar, Jaipur",1.4,2.6,4.93,27.21,3.23
2011,"Adarsh Nagar, Jaipur",1.05,1.96,4.53,27.07,4.38
2012,"Adarsh Nagar, Jaipur",1.4,1.95,2.93,10.07,4.06
2013,"Adarsh Nagar, Jaipur",0.92,1.66,4.53,11.05,4.71
2014,"Adarsh Nagar, Jaipur",0.5,2.88,3.36,12.04,3.7
2015,"Adarsh Nagar, Jaipur",1.84,1.88,4.07,29.59,1.96
2016,"Adarsh Nagar, Jaipur",1.73,1.59,3.28,15.64,2.78
2017,"Adarsh Nagar, Jaipur",0.51,1.61,3.34,22.64,3.55
2018,"Adarsh Nagar, Jaipur",1.38,1.59,4.84,17.84,1.87
2019,"Adarsh Nagar, Jaipur",1.33,2.5,2.04,15.53,4.3
2020,"Adarsh Nagar, Jaipur",1.26,1.82,4.79,11.79,3.46
2021,"Adarsh Nagar, Jaipur",1.01,1.14,2.64,22.56,1.11
2022,"Adarsh Nagar, Jaipur",1.39,2.91,4.39,16.91,1.55
2023,"Adarsh Nagar, Jaipur",1.2,1.79,4.92,29.8,2.64
2024,"Adarsh Nagar, Jaipur",0.72,2.82,4.38,20.23,2.46
2025,"Adarsh Nagar, Jaipur",1.17,2.8,2.55,26.14,1.07
1995,"Naroda, Ahmedabad",1.89,2.14,3.32,15,1.53
1996,"Naroda, Ahmedabad",1.1,2.84,2.15,29.82,1.83
1997,"Naroda, Ahmedabad",1.11,1.09,3.75,19.67,3.67
1998,"Naroda, Ahmedabad",1.31,1.8,4.21,10.5,3.16
1999,"Naroda, Ahmedabad",0.67,1.87,4.37,12.85,4.74
2000,"Naroda, Ahmedabad",1.83,1.83,2.02,25.79,4.52
2001,"Naroda, Ahmedabad",0.76,2.83,4.74,19.43,4.19
2002,"Naroda, Ahmedabad",1.17,2.13,2.96,13.19,3.99
2003,"Naroda, Ahmedabad",0.5,2.16,4.59,14.43,2.33
2004,"Naroda, Ahmedabad",1.38,1.49,4.54,17.33,3.33
2005,"Naroda, Ahmedabad",0.84,1.08,2.52,10.92,2.87
2006,"Naroda, Ahmedabad",1.38,1.09,2.27,19.71,4.2
2007,"Naroda, Ahmedabad",1.44,1.21,4.66,28.35,2.3
2008,"Naroda, Ahmedabad",1.42,1.98,4.83,20.17,4.84
2009,"Naroda, Ahmedabad",0.8,1.69,4.34,25.67,3.93
2010,"Naroda, Ahmedabad",1.79,2.41,3.91,19.18,2.87
2011,"Naroda, Ahmedabad",1.11,2.24,3.22,12.95,1.43
2012,"Naroda, Ahmedabad",1.89,1.05,2.32,18.91,2.05
2013,"Naroda, Ahmedabad",1.11,1.23,2.39,26.01,4.04
2014,"Naroda, Ahmedabad",0.66,2.34,3.83,24.27,2.9
2015,"Naroda, Ahmedabad",0.9,2.33,3.11,14.38,2.63
2016,"Naroda, Ahmedabad",1.64,1.95,2.9,26.64,4.53
2017,"Naroda, Ahmedabad",1.15,1.75,3.84,11.16,3.77
2018,"Naroda, Ahmedabad",1.67,1.79,2.52,10.58,3.55
2019,"Naroda, Ahmedabad",0.9,1.93,3.16,13.5,3.03
2020,"Naroda, Ahmedabad",1.19,2.25,2.76,14.29,4.26
2021,"Naroda, Ahmedabad",1.55,2.54,2.37,14.48,3.3
2022,"Naroda, Ahmedabad",1.79,2.78,4.5,10.87,4.28
2023,"Naroda, Ahmedabad",1.85,1.11,3.25,20.73,1.93
2024,"Naroda, Ahmedabad",1.28,2.77,4.6,28.8,2.94
2025,"Naroda, Ahmedabad",1.12,2.33,3.25,10.84,3.88
1995,"Awadhpuri, Bhopal",1.73,1.64,2.23,13.62,4.8
1996,"Awadhpuri, Bhopal",1.9,1.45,3.66,12.75,3.7
1997,"Awadhpuri, Bhopal",0.78,1.1,4.47,16.51,1.43
1998,"Awadhpuri, Bhopal",1.75,2.52,4.05,28.22,2.96
1999,"Awadhpuri, Bhopal",0.69,1.12,2.96,11.74,3.14
2000,"Awadhpuri, Bhopal",0.52,1.89,2.54,17.37,3.7
2001,"Awadhpuri, Bhopal",1.03,1.68,4.97,24.38,3.06
2002,"Awadhpuri, Bhopal",1.37,2.24,2.07,11.61,3.6
2003,"Awadhpuri, Bhopal",1.05,1.11,2.89,12.61,4.67
2004,"Awadhpuri, Bhopal",0.8,1.29,3.88,20.44,3.3
2005,"Awadhpuri, Bhopal",1.15,1.93,4.34,14.4,2.59
2006,"Awadhpuri, Bhopal",1.94,1.38,2.88,13.83,1.08
2007,"Awadhpuri, Bhopal",0.9,1.09,2.46,17.25,1.08
2008,"Awadhpuri, Bhopal",1.63,2.59,3.23,29.69,3.72
2009,"Awadhpuri, Bhopal",1.62,1.38,4.51,28.9,1.95
2010,"Awadhpuri, Bhopal",1.53,2.49,2.92,19.5,1.39
2011,"Awadhpuri, Bhopal",0.76,1.12,3.68,22.51,4.66
2012,"Awadhpuri, Bhopal",1.31,1.52,2.18,27.7,2.92
2013,"Awadhpuri, Bhopal",1.61,1.03,3.46,16.51,1.12
2014,"Awadhpuri, Bhopal",1.66,2.03,3,26.12,2.79
2015,"Awadhpuri, Bhopal",0.51,2.89,2.77,26.61,4.27
2016,"Awadhpuri, Bhopal",0.74,1.95,2.12,17.09,3.92
2017,"Awadhpuri, Bhopal",0.86,1.23,3.52,20.74,3.7
2018,"Awadhpuri, Bhopal",1.64,2.39,4.54,14.46,3.28
2019,"Awadhpuri, Bhopal",1.04,2.92,3.32,29.19,4.08
2020,"Awadhpuri, Bhopal",1.58,1.98,3.33,20.53,2.17
2021,"Awadhpuri, Bhopal",1.86,2.59,4.4,18.66,1.28
2022,"Awadhpuri, Bhopal",1.52,1.75,4.61,25.61,1.58
2023,"Awadhpuri, Bhopal",1.4,2.38,3.7,20.28,1.91
2024,"Awadhpuri, Bhopal",0.85,2.54,2.06,25.58,3.11
2025,"Awadhpuri, Bhopal",1.9,2.99,3.99,18.25,2.9
1995,"Area Code: 462001, Bhopal",0.58,1.99,4.93,11.28,1.28
1996,"Area Code: 462001, Bhopal",1.39,1.5,3.23,26.61,1.8
1997,"Area Code: 462001, Bhopal",1.58,2.01,4.71,29.46,2.94
1998,"Area Code: 462001, Bhopal",1.38,2.49,2.96,14.53,4.86
1999,"Area Code: 462001, Bhopal",1.15,1,4.51,21.99,1.67
2000,"Area Code: 462001, Bhopal",0.55,1.58,4.78,28.67,2.24
2001,"Area Code: 462001, Bhopal",1.75,1.88,3.96,16.69,3.06
2002,"Area Code: 462001, Bhopal",0.94,1.12,2.42,15.81,4.91
2003,"Area Code: 462001, Bhopal",1.95,2.66,2.7,18.83,2.76
2004,"Area Code: 462001, Bhopal",1.08,1.09,3.6,11.46,4.21
2005,"Area Code: 462001, Bhopal",1.54,1.71,3.94,14.66,2.06
2006,"Area Code: 462001, Bhopal",0.97,2.59,2.63,21.26,1.8
2007,"Area Code: 462001, Bhopal",0.93,1.47,3.94,20.53,3.89
2008,"Area Code: 462001, Bhopal",0.83,1.02,4.04,12.3,1.99
2009,"Area Code: 462001, Bhopal",0.96,2.49,3.88,13.69,3.39
2010,"Area Code: 462001, Bhopal",1.56,1.78,2.74,23.58,3.44
2011,"Area Code: 462001, Bhopal",0.62,2.33,3.47,25.07,1.76
2012,"Area Code: 462001, Bhopal",0.89,2.09,3.45,17.73,3.98
2013,"Area Code: 462001, Bhopal",1.35,2.42,2.46,24.58,2.85
2014,"Area Code: 462001, Bhopal",0.55,1.47,2.08,19.14,2.3
2015,"Area Code: 462001, Bhopal",1.98,2.74,4.48,20.02,4.23
2016,"Area Code: 462001, Bhopal",0.9,2.12,3.18,13.43,1.29
2017,"Area Code: 462001, Bhopal",1.34,1.2,4.15,28.43,1.65
